"","gene","sgrna_id","logFC","logCPM","LR","PValue","FDR"
"GRB10.1","GRB10","GRB10_+_50850515.23-P2|GRB10_-_50850529.23-P2",-0.293886025295917,5.7935592622217,1.18612552016936,0.276112480194542,0.625536134120675
"FOXP1","FOXP1","FOXP1_+_71632918.23-ENST00000493089.1|FOXP1_-_71632959.23-ENST00000493089.1",0.229629248807814,5.98173469346735,1.18602021834774,0.276133797770208,0.625536134120675
"QPCTL","QPCTL","QPCTL_-_46195950.23-P1P2|QPCTL_-_46195974.23-P1P2",0.303543867418691,5.59405567785397,1.18534596019697,0.276270345397,0.625580771160017
"DPM2","DPM2","DPM2_+_130700064.23-P1P2|DPM2_-_130700076.23-P1P2",-0.283610693560275,5.91046104796544,1.1851247048574,0.276315171496432,0.625580771160017
"C11orf88","C11orf88","C11orf88_-_111385540.23-P1P2|C11orf88_-_111385557.23-P1P2",0.222953258659234,6.27188098527317,1.18485421803683,0.276369984265212,0.625580771160017
"TSC22D1","TSC22D1","TSC22D1_+_45010942.23-P1P2|TSC22D1_+_45010918.23-P1P2",0.312261454147116,5.63489956108189,1.1847408642502,0.276392958894335,0.625580771160017
"PGBD5","PGBD5","PGBD5_-_230561544.23-P1P2|PGBD5_+_230561573.23-P1P2",-0.258975660479545,5.79004055036678,1.18353436480112,0.276637641964529,0.625962003345097
"C1orf159","C1orf159","C1orf159_+_1051446.23-P1P2|C1orf159_+_1051438.23-P1P2",-0.31764459888215,5.56052036531611,1.18331974861666,0.27668119554555,0.625962003345097
"ZNF541","ZNF541","ZNF541_+_48044159.23-P1P2|ZNF541_-_48044135.23-P1P2",0.321178413632114,5.66536752091104,1.18238665969816,0.276870654170742,0.626255051100488
"RHD","RHD","RHD_+_25598887.23-P1P2|RHD_+_25599340.23-P1P2",0.281324303494001,5.7374315434731,1.18120124741955,0.277111581096903,0.626664363224981
"APC2","APC2","APC2_-_1446291.23-P2|APC2_-_1446345.23-P2",0.281385174532495,5.66135180425601,1.18018785023803,0.277317756303143,0.626898068588002
"negative_control.243","negative_control","non-targeting_01800|non-targeting_01657",-0.478093718689676,5.13001215270481,1.18010359677036,0.277334906323668,0.626898068588002
"OSBPL10","OSBPL10","OSBPL10_+_32022639.23-P1P2|OSBPL10_-_32023052.23-P1P2",0.236535603711003,6.0161984476472,1.17972673064543,0.27741163477939,0.626935896073664
"INPP4B.1","INPP4B","INPP4B_-_143326342.23-P1|INPP4B_+_143326357.23-P1",0.238437672089745,5.89850911171268,1.17925772715802,0.277507159355136,0.627016176272685
"TPST2","TPST2","TPST2_-_26961276.23-P2|TPST2_+_26961281.23-P2",0.289286571587698,5.66389835220932,1.17875292494783,0.277610021525132,0.627112997176315
"negative_control.397","negative_control","non-targeting_01822|non-targeting_02548",0.369970027267084,5.44983594616972,1.17844167180513,0.277673468649167,0.627120758025459
"TSPAN19","TSPAN19","TSPAN19_+_85429991.23-P1P2|TSPAN19_+_85430000.23-P1P2",-0.260092720551188,5.90741275954098,1.17782390189774,0.277799451496084,0.627229139483303
"CPT1A","CPT1A","CPT1A_-_68609315.23-P1P2|CPT1A_-_68609263.23-P1P2",0.226380902231031,6.19032775185101,1.17761778574557,0.277841501116575,0.627229139483303
"C1orf167","C1orf167","C1orf167_+_11847891.23-P1P2|C1orf167_+_11847839.23-P1P2",0.386956801668741,5.59778464476796,1.17674502893999,0.278019640495915,0.62741702062967
"SCGB1C1","SCGB1C1","SCGB1C1_+_193152.23-P1P2|SCGB1C1_+_193136.23-P1P2",0.229747305781052,7.28536674986824,1.17662179263493,0.278044805984306,0.62741702062967
"C1QTNF1","C1QTNF1","C1QTNF1_+_77020328.23-P1P2|C1QTNF1_+_77020294.23-P1P2",0.246534286683156,5.88723087707286,1.17590431806053,0.278191374971559,0.627501650694166
"negative_control.308","negative_control","non-targeting_01102|non-targeting_00338",0.263966999242838,5.886747580715,1.17585033665686,0.278202406475222,0.627501650694166
