sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
ATPAF1_-_47133754.23-P1P2|ATPAF1_-_47133776.23-P1P2	ATPAF1	3918	4057	3183	3969	3308	4925
HOPX_-_57547423.23-P1|HOPX_-_57547452.23-P1	HOPX	1676	1860	1977	458	1540	970
ZNF23_+_71496114.23-P1|ZNF23_+_71496111.23-P1	ZNF23	3589	3536	5690	3857	3487	4431
RNF39_+_30043507.23-P1P2|RNF39_+_30043497.23-P1P2	RNF39	3372	4642	2892	5390	2636	5327
ANXA9_-_150954803.23-P1P2|ANXA9_+_150954830.23-P1P2	ANXA9	4916	5655	6258	4895	3543	6773
SLC25A39_-_42402136.23-P1|SLC25A39_+_42402139.23-P1	SLC25A39	11742	9045	16638	9646	9328	9292
PDE1B_-_54943445.23-P1|PDE1B_-_54943464.23-P1	PDE1B	6167	5230	6111	4308	5566	5325
TPM3_+_154155664.23-P1P2|TPM3_+_154155457.23-P1P2	TPM3	5554	6532	7678	3614	6569	6440
CYBB_-_37639300.23-P1P2|CYBB_-_37639341.23-P1P2	CYBB	4767	2811	2690	3675	3123	3606
CHST5_-_75569003.23-P1P2|CHST5_+_75568970.23-P1P2	CHST5	1821	1718	1974	1820	1211	2131
EHBP1L1_+_65343635.23-P1P2|EHBP1L1_-_65343572.23-P1P2	EHBP1L1	14066	11532	20052	11372	14394	13595
HOXD13_-_176957650.23-P1P2|HOXD13_-_176957538.23-P1P2	HOXD13	3964	3254	6272	3400	4711	4317
AKAP17A_+_1710540.23-P1P2|AKAP17A_-_1710549.23-P1P2	AKAP17A	13105	7287	14940	9322	12863	6935
MMP13_-_102826411.23-P1P2|MMP13_-_102826407.23-P1P2	MMP13	5008	4195	5103	4991	4524	7032
CLIC2_-_154563883.23-P1P2|CLIC2_-_154563867.23-P1P2	CLIC2	6168	5904	6051	6121	5867	6820
GAL_-_68452021.23-P1P2|GAL_-_68452035.23-P1P2	GAL	20818	19326	23915	17188	17171	21267
OR2M4_+_248402307.23-ENST00000306687.1|OR2M4_+_248402258.23-ENST00000306687.1	OR2M4	3604	5298	5377	3544	3886	4895
SCRT2_+_657265.23-P1P2|SCRT2_+_657239.23-P1P2	SCRT2	5379	5859	5312	2414	4470	3997
UBE3A_-_25684172.23-P1P2|UBE3A_-_25684167.23-P1P2	UBE3A	8062	7104	7615	6493	5374	8942
SLC35A2_-_48768917.23-P1P2|SLC35A2_+_48768761.23-P1P2	SLC35A2	5711	3795	7196	3518	3109	4815
CHRNB3_+_42552570.23-P1P2|CHRNB3_-_42552534.23-P1P2	CHRNB3	5461	4575	4402	4284	4367	3200
YTHDF2_+_29063507.23-P1P2|YTHDF2_+_29063483.23-P1P2	YTHDF2	4366	6785	5731	5298	2817	2807
NEURL_+_105253754.23-ENST00000369780.4|NEURL_+_105253817.23-ENST00000369780.4	NEURL	1943	2378	3374	1132	2511	1620
OR1A1_+_3118933.23-ENST00000304094.1|OR1A1_+_3118952.23-ENST00000304094.1	OR1A1	3440	4177	3326	2787	3964	4134
TBC1D4_-_76056296.23-P1P2|TBC1D4_-_76056245.23-P1P2	TBC1D4	15862	17618	16151	16368	14216	19964
DNAL4_+_39178731.23-P2|DNAL4_+_39178653.23-P2	DNAL4	5372	4058	9219	5398	5697	7068
C16orf80_+_58163199.23-P1P2|C16orf80_+_58163240.23-P1P2	C16orf80	997	4684	1870	4354	265	6135
NTN1_-_8924866.23-P1P2|NTN1_+_8924820.23-P1P2	NTN1	11391	4912	11465	4562	9107	5249
HIST1H4I_-_27107114.23-ENST00000354348.2|HIST1H4I_+_27107077.23-ENST00000354348.2	HIST1H4I	4044	5265	6675	5930	4150	4716
MFSD8_-_128886840.23-P1P2|MFSD8_-_128886886.23-P1P2	MFSD8	7391	5871	7865	5459	3091	7338
PRCP_-_82611451.23-P1|PRCP_-_82611391.23-P1	PRCP	8390	7200	8058	4119	5597	7524
CBS_-_44495867.23-P1P2|CBS_-_44495934.23-P1P2	CBS	4811	5068	5256	3765	4258	4268
TSPAN5_-_99579743.23-P1P2|TSPAN5_-_99579534.23-P1P2	TSPAN5	20117	20924	22522	17741	16971	24427
"PTPRD_+_8733896.23-ENST00000356435.5,ENST00000540109.1|PTPRD_-_8733960.23-ENST00000356435.5,ENST00000540109.1"	PTPRD	2976	3768	6399	3994	2970	4140
ABCC11_-_48278125.23-P1|ABCC11_+_48278130.23-P1	ABCC11	1153	1121	1852	2740	416	1683
PNP_-_20937699.23-P1P2|PNP_-_20937615.23-P1P2	PNP	5739	6073	5620	4970	4279	6883
ITGB6_-_161056776.23-P1P2|ITGB6_+_161056568.23-P1P2	ITGB6	4677	2335	3050	2627	3009	3445
CEP104_+_3773724.23-P1P2|CEP104_+_3773746.23-P1P2	CEP104	5069	5568	7201	5437	4738	7462
non-targeting_03215|non-targeting_02798	negative_control	3367	4542	3889	3470	2341	4264
MANSC1_-_12503126.23-P1P2|MANSC1_-_12503149.23-P1P2	MANSC1	4763	3177	7795	2709	4386	3310
USP38_+_144106157.23-P1P2|USP38_+_144106133.23-P1P2	USP38	7772	7978	11444	7581	8812	8397
ATP13A2_-_17338380.23-P1P2|ATP13A2_+_17338415.23-P1P2	ATP13A2	4978	5564	6671	7092	5608	6672
KAAG1_+_24357970.23-P1P2|KAAG1_+_24357727.23-P1P2	KAAG1	6269	5151	8878	3606	6815	5968
IQUB_+_123174606.23-P1P2|IQUB_+_123174615.23-P1P2	IQUB	3733	3664	4672	3486	4825	2854
BRINP1_+_122131680.23-P1P2|BRINP1_-_122131719.23-P1P2	BRINP1	7290	4855	6144	4907	4640	4668
RENBP_+_153210051.23-P1P2|RENBP_+_153210072.23-P1P2	RENBP	5655	6243	6471	3629	6433	5750
STAU2_+_74658690.23-P1P2|STAU2_-_74658866.23-P1P2	STAU2	9620	6645	9534	8022	8631	10950
NAA40_-_63706762.23-P1P2|NAA40_+_63706708.23-P1P2	NAA40	4277	2974	2373	3798	2322	4297
PIK3CB_+_138553747.23-P1P2|PIK3CB_+_138553708.23-P1P2	PIK3CB	21086	16455	18294	14907	15379	21085
non-targeting_01919|non-targeting_03067	negative_control	5913	3930	5123	2921	4623	5445
NEDD4L_+_55711635.23-ENST00000400345.3|NEDD4L_-_55711493.23-ENST00000400345.3	NEDD4L	5860	4611	6977	5874	3455	6503
CYFIP2_+_156693145.23-P1P2|CYFIP2_+_156693181.23-P1P2	CYFIP2	2736	1914	1367	1524	1748	2205
PRKAG3_+_219696451.23-P1P2|PRKAG3_-_219696486.23-P1P2	PRKAG3	2628	3005	1634	2147	2546	2294
RABAC1_-_42463460.23-P1P2|RABAC1_+_42463440.23-P1P2	RABAC1	3559	4034	6674	4115	4595	5019
MYBPC1_+_101988754.23-P1P2|MYBPC1_-_101988814.23-P1P2	MYBPC1	7031	6766	8585	5731	8717	5002
