sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
UGT3A1_-_35991456.23-P1P2|UGT3A1_-_35991431.23-P1P2	UGT3A1	3788.7970910744916	4283.108788050857	1635.872489831217	3500.2616159172735	4493.09989324411	3529.3246715347072
ARRDC3_-_90679136.23-P1P2|ARRDC3_+_90679122.23-P1P2	ARRDC3	5074.09873648451	3564.0618978686166	4112.003071417845	3357.2996790352768	4938.110265445799	3811.8243865990153
CAPN6_+_110513653.23-P1P2|CAPN6_+_110513684.23-P1P2	CAPN6	2081.27525322739	2707.8557742990133	2535.9212427646694	2151.3465663048855	4141.6061934616155	1375.0241233232143
PARK2_+_163148768.23-P1P2|PARK2_+_163148783.23-P1P2	PARK2	4340.572706798009	4883.6999766712825	5393.914847075056	3832.3022435141693	4945.634595410562	4274.009294578377
PARVG_-_44577254.23-P1P2|PARVG_-_44577870.23-P1P2	PARVG	4555.877043338774	5240.106166458144	4377.47360704835	5373.754740378924	4688.732472327944	5185.8876265376575
SERPINA11_+_94919089.23-P1P2|SERPINA11_-_94918880.23-P1P2	SERPINA11	4981.825449395611	4039.962874318712	3636.069408440634	2650.5604265460515	4165.254087636585	3195.898137088058
THAP8_-_36545115.23-P1P2|THAP8_+_36545132.23-P1P2	THAP8	1423.2455493408975	1597.0738008816513	2259.2897837142636	1146.0013327476186	2790.4515126463416	2383.9516771243148
C11orf1_+_111749930.23-P1P2|C11orf1_+_111750294.23-P1P2	C11orf1	3166.1854165756577	2912.555539278639	5133.227564338795	2440.7291966063467	4574.792618575821	2679.9037595726377
PEX7_+_137143747.23-P1P2|PEX7_-_137143924.23-P1P2	PEX7	2042.129010219978	2701.6212636904966	1619.1311047013655	1016.8744220154925	2381.9878859877863	2011.1289239101939
ULBP1_-_150285188.23-P1P2|ULBP1_-_150285144.23-P1P2	ULBP1	6231.70906541797	7899.124940990444	5057.492726846609	7615.028976657968	5441.16546880423	7652.475274735205
SLC43A2_+_1532096.23-P1P2|SLC43A2_+_1532093.23-P1P2	SLC43A2	10941.374920571576	14050.508741393422	11091.566252934563	13796.979827958503	10610.380154596318	13294.782508944789
ZNF619_+_40518680.23-P1P2|ZNF619_+_40518689.23-P1P2	ZNF619	6291.360483334027	6641.831968272944	6452.608154334245	8485.482705253997	5749.662997359508	6748.284009852505
XKR4_-_56014751.23-P1P2|XKR4_-_56014685.23-P1P2	XKR4	9397.894481993628	9539.840316131711	8484.693425571952	13100.61684508168	7328.697385679028	10765.73744075003
SEC22C_+_42623405.23-P1P2|SEC22C_-_42623417.23-P1P2	SEC22C	6298.816910573533	4075.291767766972	5785.344375587301	3766.5858693022838	6293.564563383795	2694.317010341225
AREG_+_75311479.23-P1P2|AREG_-_75311544.23-P1P2	AREG	2914.5309972422965	2692.269497777722	2867.5601100988733	3457.603618621839	2889.3427064689395	3627.3347767611
ROCK1_-_18691767.23-P1P2|ROCK1_-_18691698.23-P1P2	ROCK1	4921.241978074616	4320.515851701955	4227.598349695392	4196.6245987940965	4571.567905733779	4583.413744410715
FAH_-_80445331.23-P1P2|FAH_+_80445358.23-P1P2	FAH	7159.102203331653	6894.329647917863	4231.584393773928	8612.303778294478	5148.791504459159	7700.519443963829
non-targeting_02989|non-targeting_02406	negative_control	3936.9935824596932	3378.06566471454	4076.9258835267274	4699.297215572729	2834.5225881542387	4474.833921954025
S1PR2_-_10341992.23-P1P2|S1PR2_-_10341941.23-P1P2	S1PR2	4342.436813607886	4976.178550697611	6226.200850673395	5862.592331007687	5134.817748810314	4788.081905324652
TMEM107_-_8079636.23-P1P2|TMEM107_-_8079624.23-P1P2	TMEM107	342.99565301732173	1067.1403991577463	403.3876607478537	29.975889991386403	1087.8031320485738	1264.5225340973795
AADACL4_+_12704573.23-P1P2|AADACL4_+_12704601.23-P1P2	AADACL4	4267.872541212816	3561.9837276657777	5424.208782071931	4111.308604203227	4308.216356967079	2900.9069380243072
IL2_-_123377531.23-P1P2|IL2_+_123377203.23-P1P2	IL2	1383.1672529285474	2230.9157127474987	2015.3438861078541	1406.5609919035157	880.346605877255	2083.19517775313
C11orf16_+_8954431.23-P1P2|C11orf16_-_8954401.23-P1P2	C11orf16	2362.755381518779	3204.538452777497	3498.152283323285	4820.353694384098	2887.1928979075788	3480.319618921511
CCL16_-_34308484.23-P1P2|CCL16_-_34308468.23-P1P2	CCL16	4695.685054079529	4332.984872918989	4620.622295839052	6500.156452747558	3875.0299318528746	3968.448378284329
DCAF12L1_-_125686785.23-P1P2|DCAF12L1_+_125686771.23-P1P2	DCAF12L1	5273.558165141322	5468.704888770417	4461.180532697607	4100.932334590824	4374.860422369265	3743.60166629437
VARS2_-_30882058.23-P1P2|VARS2_+_30882095.23-P1P2	VARS2	637.524528977848	467.5882956387398	310.1142293101089	280.15927953488057	5.374521403402045	190.2549101453504
CAB39L_-_50018126.23-P1|CAB39L_+_50018146.23-P1	CAB39L	3845.652348775732	6961.870179510126	3561.9289885798626	6424.06380892327	4108.284160760523	4812.103989938963
RNF26_-_119205267.23-P1P2|RNF26_-_119205249.23-P1P2	RNF26	2260.229506975558	2976.9788155666433	2499.2496372421374	2485.693031593426	3015.1065073085474	2250.3888866687407
BIRC6_+_32582253.23-P1P2|BIRC6_+_32582257.23-P1P2	BIRC6	4474.788397109135	3855.005726266055	3980.4636168261536	1872.3402056158275	5342.2742749816325	3825.27675398303
TFDP3_+_132352371.23-P1P2|TFDP3_+_132352356.23-P1P2	TFDP3	3693.7276437707774	3692.908450444625	4139.10817115189	2019.9138178811145	4153.4301405491005	1985.185072526737
ANXA10_+_169013714.23-P1P2|ANXA10_-_169013780.23-P1P2	ANXA10	1414.8570686964522	1710.3340769363683	1466.067012085579	1491.8769864943847	485.85673486754484	926.2915827278676
ZNF92_+_64838836.23-P1P2|ZNF92_+_64838789.23-P1P2	ZNF92	5592.320429630246	5442.727761234932	5901.7368626805555	5884.497789078315	5366.997073437282	7077.867010760864
HDLBP_+_242212201.23-P1|HDLBP_-_242212181.23-P1	HDLBP	3837.263868131287	3286.626175789631	3034.9739613973898	3359.605516726922	2549.67295377393	2086.0778279068472
ZIM3_+_57656549.23-ENST00000269834.1|ZIM3_+_57656468.23-ENST00000269834.1	ZIM3	2703.886927726224	1569.0185031433268	3309.2137940006737	3987.946287700214	2994.6833259756195	3532.2073216884246
MIS12_+_5389906.23-P1P2|MIS12_+_5389910.23-P1P2	MIS12	311.30583724941704	510.1907847969361	67.76274933511377	1419.2430992075638	139.73755648845318	555.3905962828916
MND1_+_154265928.23-P1P2|MND1_-_154265897.23-P1P2	MND1	5146.798902069703	5913.433312177929	5918.478247810407	5633.161480688998	6948.181270318164	5246.423279765723
CHRNB4_+_78933567.23-P1P2|CHRNB4_+_78933497.23-P1P2	CHRNB4	4478.516610728889	4395.329979004154	6502.035100908093	4172.413303031823	5090.746673302417	4347.036431805885
ARRDC1_+_140500210.23-P1P2|ARRDC1_+_140500153.23-P1P2	ARRDC1	4937.086885958569	4909.677104206768	3443.1448750394866	4592.075762911232	4741.402782081284	3751.2887333709496
HIST1H2BG_+_26216519.23-ENST00000244601.3|HIST1H2BG_-_26216720.23-ENST00000244601.3	HIST1H2BG	3233.2932617312204	3624.328833750943	2417.9343380400005	2988.3656483720597	2635.665296228363	2872.0804364871333
LOC100130451_-_214148883.23-P1P2|LOC100130451_-_214148682.23-P1P2	LOC100130451	3194.1470187238087	3357.283962686152	3937.4143407779634	3902.630293109345	1925.1535666986126	2138.926414058333
ANGPT4_+_896929.23-P1P2|ANGPT4_+_896968.23-P1P2	ANGPT4	6305.341284408102	5778.352248993405	4564.020469923839	5222.722371576169	5019.80299077751	5502.018260062002
MARVELD3_-_71660150.23-P1P2|MARVELD3_-_71660321.23-P1P2	MARVELD3	5523.3484776648065	6079.686928405037	6698.148469572069	4280.787674539142	6889.061534880741	5233.9317957662815
USP19_+_49158108.23-P1P2|USP19_-_49158246.23-P1P2	USP19	3321.838335200366	1881.7831186705728	3670.3493875160448	2315.061042411688	3606.303861682772	1991.9112562187445
LENEP_+_154966114.23-P1P2|LENEP_+_154966078.23-P1P2	LENEP	5105.788552252415	5050.9926779998095	6918.97531152297	3567.1309089749816	5489.5361614348485	5392.47755422074
LRTM2_+_1929800.23-P1P2|LRTM2_+_1929776.23-P1P2	LRTM2	5026.564012832652	4621.850531113588	3669.552178700337	4007.5459080791975	2797.975842611105	4880.326710243609
POU3F3_-_105472230.23-P1P2|POU3F3_+_105472152.23-P1P2	POU3F3	5550.378026408019	5173.604719967301	7175.676550180694	5102.818811610624	6048.486387388662	5583.693347750663
non-targeting_00054|non-targeting_01095	negative_control	5898.9659998549705	6990.96456234987	5169.10196104562	5619.326454539128	5732.4645288686215	4913.957628703646
MAST1_+_12944776.23-P2|MAST1_+_12944770.23-P2	MAST1	6500.140446040223	6480.773777552934	7536.8121436960655	5318.414635779441	7482.408697816327	6729.066342161055
SSR4_-_153060164.23-P1P2|SSR4_+_153060121.23-P1P2	SSR4	4777.705753714106	5435.454165524995	6075.52838450473	3350.382165960342	5344.424083542994	4401.8067847265165
SAYSD1_+_39082853.23-P1P2|SAYSD1_-_39082897.23-P1P2	SAYSD1	1810.9797657952613	2556.1493494917777	3300.444497027894	3301.9595744357944	2229.3514781311683	3461.1019512300613
non-targeting_01013|non-targeting_02005	negative_control	3828.8753874868416	3502.7558768848708	5224.906578145125	3207.420229078345	4523.197213103161	4222.121591811463
SMCO1_+_196242166.23-P1P2|SMCO1_+_196241995.23-P1P2	SMCO1	2516.5441933336106	2935.4154115098668	3158.541327832009	2693.2184238414857	3603.079148840731	3497.6155198438155
C1orf162_-_112016636.23-P1P2|C1orf162_-_112016587.23-P1P2	C1orf162	3363.780738422593	2805.529773832439	2847.629889706193	2142.123215538305	5017.65318221615	2301.315706051082
